source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Citizens for a Sound Economy (CSE),organisation,was funded by,Koch,organisation,1986,2002,,"CSE/FreedomWorks received as much as $12,331,712 in Koch funding from 1986 to 2002, according to Greenpeace data.",https://www.desmog.com/horace-cooper/
FreedomWorks,organisation,was funded by,Koch,organisation,1986,2002,,"CSE/FreedomWorks received as much as $12,331,712 in Koch funding from 1986 to 2002, according to Greenpeace data.",https://www.desmog.com/horace-cooper/
George Mason University,organisation,was funded by,Koch,organisation,,,,"As documented by Greenpeace, George Mason University is one of the largest recipients of Koch funding of any organization.",https://www.desmog.com/horace-cooper/
National Center for Public Policy Research,organisation,contributed to,Project 21,organisation,,,,"NCPPR describes Project 21 as 'the National Leadership Network of Black Conservatives' and as an initiative 'to promote the views of African-Americans whose entrepreneurial spirit, dedication to family and commitment to individual responsibility has not traditionally been echoed by the nation's civil rights establishment.'",https://www.desmog.com/horace-cooper/
Fueling US Forward,organisation,sponsored,National Black Political Convention,organisation,,,2016,"The conference, which included Fueling US Forward as a sponsor, was also attended by FUSF President and CEO Charles Drevna.",https://www.desmog.com/horace-cooper/
Altria,organisation,sponsored,Conservative Political Action Conference (CPAC),organisation,,,2012,"Notable sponsors included Altria, The Heritage Foundation, and Koch Industries, among many others.",https://www.desmog.com/horace-cooper/
The Heritage Foundation,organisation,sponsored,Conservative Political Action Conference (CPAC),organisation,,,2012,"Notable sponsors included Altria, The Heritage Foundation, and Koch Industries, among many others.",https://www.desmog.com/horace-cooper/
Koch Industries,organisation,sponsored,Conservative Political Action Conference (CPAC),organisation,,,2012,"Notable sponsors included Altria, The Heritage Foundation, and Koch Industries, among many others.",https://www.desmog.com/horace-cooper/
The Heartland Institute,organisation,sponsored,FreedomFest,organisation,,,2012,"The Heartland Institute, Heritage Foundation, and institute for Justice were all listed as “Gold” level exhibitors for that year's conference.",https://www.desmog.com/horace-cooper/
Heritage Foundation,organisation,sponsored,FreedomFest,organisation,,,2012,"The Heartland Institute, Heritage Foundation, and institute for Justice were all listed as “Gold” level exhibitors for that year's conference.",https://www.desmog.com/horace-cooper/
Institute for Justice,organisation,sponsored,FreedomFest,organisation,,,2012,"The Heartland Institute, Heritage Foundation, and institute for Justice were all listed as “Gold” level exhibitors for that year's conference.",https://www.desmog.com/horace-cooper/
Americans for Prosperity (AFP),organisation,was funded by,Koch-controlled foundations,organisation,,,,"Americans for Prosperity, which has received a total of at least $11,900,078 from Koch-controlled foundations according to data from the Conservative Transparency project.",https://www.desmog.com/horace-cooper/
Murray Energy Corporation,organization,active since,1988,gYear,,,,Murray Energy was founded by the late Robert E. Murray in 1988. Murray Energy went bankrupt in 2019.,https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,active until,2019,gYear,,,,Murray Energy was founded by the late Robert E. Murray in 1988. Murray Energy went bankrupt in 2019.,https://www.desmog.com/murray-energy/
American Consolidated Natural Resources Inc.,organization,active since,2020,gYear,,,,The company emerged from federal bankruptcy protection in September 2020 with a new ownership group and under the new name American Consolidated Natural Resources Inc.,https://www.desmog.com/murray-energy/
American Consolidated Natural Resources Inc.,organization,same as,Murray Energy Corporation,organization,2020,,,The company emerged from federal bankruptcy protection in September 2020 with a new ownership group and under the new name American Consolidated Natural Resources Inc.,https://www.desmog.com/murray-energy/
Robert E. Murray,person,contributed to,Murray Energy Corporation,organization,1988,,,Murray Energy was founded by the late Robert E. Murray in 1988.,https://www.desmog.com/murray-energy/
Robert E. Murray,person,is president of,Murray Energy Corporation,organization,,2019,,"Robert Murray, the company's chairman, president, and CEO",https://www.desmog.com/murray-energy/
Robert E. Murray,person,is director of,Murray Energy Corporation,organization,,2019,,"Robert Murray, the company's chairman, president, and CEO",https://www.desmog.com/murray-energy/
Robert E. Murray,person,is director of,American Consolidated Natural Resource Holdings Inc.,organization,,2020,,"On October 19, Murray announced he was retiring as chairman of the board of directors of American Consolidated Natural Resource Holdings Inc.",https://www.desmog.com/murray-energy/
Robert D. Moore,person,is employed by,Murray Energy Corporation,organization,,,,"Robert D. Moore — CFO, COO, Executive VP and Member of the board of directors.",https://www.desmog.com/murray-energy/
Robert D. Moore,person,is director of,Murray Energy Corporation,organization,,,,Robert D. Moore — Member of the board of directors.,https://www.desmog.com/murray-energy/
Robert D. Moore,person,is president of,Murray Energy Corporation,organization,,,2019,Moore was named president and CEO in 2019,https://www.desmog.com/murray-energy/
Robert D. Moore,person,is president of,American Consolidated Natural Resources Inc.,organization,2019,,,"Robert D. Moore, who replaced Robert Murray as president and CEO of Murray Energy in October 2019, also headed the new company.",https://www.desmog.com/murray-energy/
Robert D. Moore,person,is employed by,American Consolidated Natural Resources Inc.,organization,2019,,,"Robert D. Moore, who replaced Robert Murray as president and CEO of Murray Energy in October 2019, also headed the new company.",https://www.desmog.com/murray-energy/
Michael O. McKown,person,is employed by,Murray Energy Corporation,organization,,,,"Michael O. McKown — Senior Vice President, Secretary and General Counsel.",https://www.desmog.com/murray-energy/
B. J. Cornelius,person,is employed by,Murray Energy Corporation,organization,,,,B. J. Cornelius — Senior Vice President of Marketing and Sales.,https://www.desmog.com/murray-energy/
John R. Forrelli,person,is employed by,Murray Energy Corporation,organization,,,,John R. Forrelli — Vice President of Engineering & Planning.,https://www.desmog.com/murray-energy/
Henry W Fayne,person,is director of,Murray Energy Corporation,organization,,,,Henry W Fayne — Director.,https://www.desmog.com/murray-energy/
Todd Adkins,person,is employed by,Murray Energy Corporation,organization,2017,,,"Todd Adkins — Vice President, Marketing and Sales (as of November 2017).",https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,International Climate Science Coalition (ICSC),organization,,,2019,"Murray Energy bankruptcy filings revealed that the energy company, even while undergoing bankruptcy, had continued to fund a wide range of climate change denial groups. That included the International Climate Science Coalition (ICSC), a group that has closely guarded its funding sources, which received $60,000.",https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,Heartland Institute,organization,,,2019,"Other groups named included the Heartland Institute ($130,000)",https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,Competitive Enterprise Institute,organization,,,2019,"Competitive Enterprise Institute ($200,000)",https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,Government Accountability & Oversight,organization,,,2019,"Government Accountability & Oversight ($300,000).",https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,Center for the Study of Carbon Dioxide and Global Change,organization,,,2019,"He also donated $60,000 to the Center for the Study of Carbon Dioxide and Global Change, making him one of the group's largest donors.",https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,FreedomWorks,organization,,,2019,Other groups funded by Murray Energy include FreedomWorks,https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,Cato Institute,organization,,,2019,the Cato Institute,https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,Committee for a Constructive Tomorrow,organization,,,2019,the Committee for a Constructive Tomorrow,https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,sponsored,Judicial Watch,organization,,,2019,and Judicial Watch.,https://www.desmog.com/murray-energy/
"Murray Kentucky Energy, Inc.",organization,has partner,"Western Kentucky Coal Resources, LLC",organization,,,2018,"Murray Kentucky Energy, Inc. (Acquired Western Kentucky Coal Resources, LLC in 2018)",https://www.desmog.com/murray-energy/
"Western Kentucky Coal Resources, LLC",organization,is derived from,"Murray Kentucky Energy, Inc.",organization,,,2018,"Murray Kentucky Energy, Inc. (Acquired Western Kentucky Coal Resources, LLC in 2018)",https://www.desmog.com/murray-energy/
"Murray American Energy, Inc.",organization,is derived from,Consolidation Coal Company,organization,,,2013,Originally Consolidation Coal Company until Murray acquired it from CONSOL Energy Inc. In 2013.,https://www.desmog.com/murray-energy/
Murray Energy Corporation,organization,has partner,FirstEnergy,organization,2017,,,"In August of 2017, Robert Murray had sent a letter to the White House requesting for assistance from the Trump administration. In particular, he was lobbying on behalf of FirstEnergy, one of Murray Energy's largest customers",https://www.desmog.com/murray-energy/
Kevin Gentry,person,is director of,Koch Industries,organization,,,,Kevin Gentry is director of strategic development for Koch Industries.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is president of,Charles G. Koch Charitable Foundation,organization,2003,,,"Kevin Gentry is vice president of the Charles G. Koch Charitable Foundation, a position he has held since 2003.",https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is employed by,Koch Companies Public Sector,organization,,,,Kevin Gentry has served as vice president for special projects at Koch Companies Public Sector (KCPS).,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is employed by,Koch Companies Public Sector,organization,2019,2020,,"Kevin Gentry was listed as VP, SPECIAL PROJECTS DEVELOPMENT for KOCH CO PUBLIC SECTOR LLC in 2019 and 2020 campaign finance data.",https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is employed by,Koch Industries Inc.,organization,,,2004,Kevin Gentry was listed as VICE PRESIDENT for KOCH INDUSTRIES INC. in 2004 campaign finance data.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is president of,Institute for Humane Studies,organization,1997,2003,,Kevin Gentry served as vice president of the Institute for Humane Studies from 1997 to 2003.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is president of,Mercatus Center at George Mason University,organization,1997,2003,,Kevin Gentry served as vice president of the Mercatus Center at George Mason University from 1997 to 2003.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is director of,Cato Institute,organization,2010,2012,,Kevin Gentry was placed on the board of the Cato Institute in December 2010 and was removed in June 2012.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is president of,Claude R. Lambe Charitable Foundation,organization,,,,Kevin Gentry was a former vice president of Claude R. Lambe Charitable Foundation.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is a member of,Leadership Institute,organization,,,,Kevin Gentry is volunteer faculty at the Leadership Institute.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is president of,Leadership Institute,organization,,,,Kevin Gentry was a former executive vice president of the Leadership Institute.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is a member of,Freedom Partners,organization,,,,Kevin Gentry was a former board member of Freedom Partners.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,State Policy Network,organization,,,,"Kevin Gentry assists State Policy Network's members through consistently solid, topical programs and presentations. He also organized the Koch Foundation's Development Exchange and led fundraising workshops for SPN.",https://www.desmog.com/kevin-gentry/
State Policy Network,organization,sponsored,Kevin Gentry,person,,,2007,The State Policy Network awarded Kevin Gentry the 'Roe Award' in 2007.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is a member of,Council for National Policy,organization,,,,Kevin Gentry is a member of the executive committee of Council for National Policy.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is director of,National Journalism Center,organization,,,,Kevin Gentry is a board member of National Journalism Center.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is a member of,Republican Party of Virginia,organization,,,,Kevin Gentry was a former Eastern vice chairman of Republican Party of Virginia.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,Virginia Governor Jim Gilmore,person,,,1998,Kevin Gentry was a former fundraising consultant for Virginia Governor Jim Gilmore.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,U.S. Senator George Allen,person,,,1998,Kevin Gentry was a former fundraising consultant for U.S. Senator George Allen.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,Morton Blackwell,person,,,1998,Kevin Gentry was a former campaign manager for Morton Blackwell.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,is a member of,Sorrel Enterprises LLC,organization,,,,Kevin Gentry is listed as Owner of Sorrel Enterprises LLC in FEC data.,https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",organization,,,2019,"Kevin Gentry contributed $5000 to KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC) on January 16, 2019.",https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",organization,,,2020,"Kevin Gentry contributed $5000 to KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC) on January 15, 2020.",https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,KOCH INDUSTRIES INC POLITICAL ACTION COMMITTEE (KOCHPAC),organization,,,2004,"Kevin Gentry contributed $2000 to KOCH INDUSTRIES INC POLITICAL ACTION COMMITTEE (KOCHPAC) on October 19, 2004.",https://www.desmog.com/kevin-gentry/
Kevin Gentry,person,contributed to,World Taxpayers Associations,organization,,,,Kevin Gentry writes a weekly summary of advice on fundraising and building relationships with donors for the World Taxpayers Associations.,https://www.desmog.com/kevin-gentry/
Sherwood B. Idso,person,is president of,Center for the Study of Carbon Dioxide and Global Change,organisation,2001,2018,,Sherwood B. Idso was the president of the Center for the Study of Carbon Dioxide and Global Change from 2001 to 2018. He later held an advisory role at CSCDGC.,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,contributed to,Center for the Study of Carbon Dioxide and Global Change,organisation,,,2003,Sherwood B. Idso co-authored a publication titled 'Enhanced or Impaired? Human Health in a CO2-Enriched Warmer World' for the Center for the Study of Carbon Dioxide and Global Change in November 2003.,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,is a member of,Doctors for Disaster Preparedness (DDP),organisation,,,2003,Sherwood Idso received the Petr Beckmann Award from Doctors for Disaster Preparedness (DDP) in 2003 and spoke at their 21st Annual Meeting.,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,is a member of,Agricultural and Forest Meteorology,organisation,1973,1993,,Sherwood B. Idso served on the editorial board of Agricultural and Forest Meteorology from 1973 to 1993.,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,is a member of,Environmental and Experimental Botany,organisation,1993,,,Sherwood B. Idso has served on the editorial board of Environmental and Experimental Botany since 1993.,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,is a member of,Committee for a Constructive Tomorrow (CFACT),organisation,,,,Sherwood B. Idso was a former member of the Board of Advisors for the Committee for a Constructive Tomorrow (CFACT).,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,is a member of,George C. Marshall Institute,organisation,,,,Sherwood B. Idso was a former 'Expert' at the George C. Marshall Institute.,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,is a member of,Informational Council on the Environment (ICE),organisation,,,,Sherwood B. Idso was a former member of the 'Science Advisory Panel' for the Informational Council on the Environment (ICE).,https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,is a member of,The European Science and Environment Forum (ESEF),organisation,,,1998,Sherwood B. Idso was a former 'Academic Member' of The European Science and Environment Forum (ESEF) as of March 1998.,https://www.desmog.com/sherwood-b-idso/
Western Fuels Association,organisation,sponsored,The Greening of Planet Earth,organisation,,,1991,"The video titled 'The Greening of Planet Earth,' narrated by Idso, was funded by the Western Fuels Association and the coal industry.",https://www.desmog.com/sherwood-b-idso/
coal industry,organisation,sponsored,The Greening of Planet Earth,organisation,,,1991,"The video titled 'The Greening of Planet Earth,' narrated by Idso, was funded by the Western Fuels Association and the coal industry.",https://www.desmog.com/sherwood-b-idso/
coal-burning utility companies,organisation,sponsored,pro-coal ad campaign,organisation,,,1991,"A pro-coal ad campaign, for which Idso was on a 'science advisory panel,' was funded by coal-burning utility companies.",https://www.desmog.com/sherwood-b-idso/
Center for the Study of Carbon Dioxide and Global Change,organisation,is associated with,Mother Jones magazine,organisation,,,2009,The Center for the Study of Carbon Dioxide and Global Change was listed as one of Mother Jones magazine's 2009 global warming skeptic 'Dirty Dozen of Climate Change Denial.',https://www.desmog.com/sherwood-b-idso/
Sherwood B. Idso,person,contributed to,The Fraser Institute,organisation,,,1999,Sherwood B. Idso contributed to 'Real-World Constraints on Global Warming' for The Fraser Institute in October 1999.,https://www.desmog.com/sherwood-b-idso/
Center for Truth in Science,organization,active since,2020,gYear,,,,The Center for Truth in Science was founded in 2020.,https://www.desmog.com/center-truth-science/
Center for Common Sense in Science,organization,contributed to,Center for Truth in Science,organization,2020,,,The Center for Common Sense in Science submitted the trademark registration for “Center for Truth in Science” in March 2020.,https://www.desmog.com/center-truth-science/
Center for Common Sense in Science,organization,is associated with,Liberty Justice Center,organization,2020,,,"The address provided by the Center for Common Sense Science on the 2020 trademark application principal register matched the then-current Chicago, Illinois address of the Liberty Justice Center.",https://www.desmog.com/center-truth-science/
Illinois Policy Institute,organization,is associated with,Center for Truth in Science,organization,,,,"The application for trademarking 'Center for Truth in Science' included the email address info@illinoispolicy.org, which belongs to the Illinois Policy Institute. The relationship between the two organizations is unclear, but an email address of Illinois Policy Institute appeared on the trademark application.",https://www.desmog.com/center-truth-science/
Richard Williams,person,is director of,Center for Truth in Science,organization,,2023,,Richard Williams was the Board chair of the Center for Truth in Science as of July 2023.,https://www.desmog.com/center-truth-science/
Richard Williams,person,is a member of,Mercatus Center at George Mason University,organization,,,,Richard Williams is a senior affiliated scholar at the Mercatus Center at George Mason University. He was also a former director of the center's regulatory studies program and former vice president of policy research.,https://www.desmog.com/center-truth-science/
Richard Williams,person,is a member of,The Center for Growth and Opportunity at Utah State University,organization,,,,Richard Williams is a senior affiliated scholar at The Center for Growth and Opportunity at Utah State University and the former director of the regulatory studies program.,https://www.desmog.com/center-truth-science/
David Randall,person,is director of,Center for Truth in Science,organization,,2023,,David Randall was the Board secretary of the Center for Truth in Science as of July 2023.,https://www.desmog.com/center-truth-science/
David Randall,person,is director of,National Association of Scholars (NAS),organization,,,,David Randall is the research director of the National Association of Scholars (NAS).,https://www.desmog.com/center-truth-science/
David Randall,person,is a member of,The Heartland Institute,organization,,,,David Randall is a policy advisor to The Heartland Institute.,https://www.desmog.com/center-truth-science/
Joseph Annotti,person,is director of,Center for Truth in Science,organization,,2023,,Joseph Annotti was the Board treasurer of the Center for Truth in Science as of July 2023.,https://www.desmog.com/center-truth-science/
Joseph Annotti,person,is president of,Center for Truth in Science,organization,,2023,,Joseph Annotti was the former president and CEO of the Center for Truth in Science.,https://www.desmog.com/center-truth-science/
Marjana Martinic,person,is director of,Center for Truth in Science,organization,,2023,,Marjana Martinic was a board member of the Center for Truth in Science as of July 2023.,https://www.desmog.com/center-truth-science/
Marjana Martinic,person,is president of,"MM Science & Policy Advisors, LLC",organization,,,,"Marjana Martinic is the Founder and CEO of MM Science & Policy Advisors, LLC.",https://www.desmog.com/center-truth-science/
Nathan Schatman,person,is director of,Center for Truth in Science,organization,,2023,,Nathan Schatman was a board member of the Center for Truth in Science as of July 2023.,https://www.desmog.com/center-truth-science/
Ted Simon,person,is director of,Center for Truth in Science,organization,,2023,,Ted Simon was a board member of the Center for Truth in Science as of July 2023.,https://www.desmog.com/center-truth-science/
Tony Cox,person,is director of,Center for Truth in Science,organization,,2022,,Tony Cox was a known former board member of the Center for Truth in Science as of August 2022.,https://www.desmog.com/center-truth-science/
Tony Cox,person,is president of,Cox Associates,organization,,,,Tony Cox is the President of Cox Associates.,https://www.desmog.com/center-truth-science/
Ed King,person,is director of,Center for Truth in Science,organization,,2022,,Ed King was a known former board member of the Center for Truth in Science as of August 2022.,https://www.desmog.com/center-truth-science/
Ed King,person,is president of,King Economics Group,organization,,,,Ed King is the Principal of King Economics Group.,https://www.desmog.com/center-truth-science/
Keith Pauley,person,is director of,Center for Truth in Science,organization,,2022,,Keith Pauley was a known former board member of the Center for Truth in Science as of August 2022.,https://www.desmog.com/center-truth-science/
Keith Pauley,person,is president of,MATRIC,organization,,,,Keith Pauley is the Founding president and CEO of MATRIC.,https://www.desmog.com/center-truth-science/
Jacob Traverse,person,is president of,Center for Truth in Science,organization,,2023,,Jacob Traverse was the President & CEO of the Center for Truth in Science as of April 2023.,https://www.desmog.com/center-truth-science/
Peggy Murray,person,is a member of,Center for Truth in Science,organization,,2023,,Peggy Murray was the Research director of the Center for Truth in Science as of April 2023.,https://www.desmog.com/center-truth-science/
Whitney Munro,person,is employed by,Center for Truth in Science,organization,2020,2021,,Whitney Munro was the vice president of strategy at the Center for Truth in Science from January 2020 to August 2021.,https://www.desmog.com/center-truth-science/
Whitney Munro,person,is a member of,Cicero Institute,organization,,2023,,"As of April 2023, Whitney Munro is a senior advisor and former chief operating officer at the Cicero Institute.",https://www.desmog.com/center-truth-science/
Whitney Munro,person,is employed by,Foundation of Government Accountability,organization,2016,2020,,Whitney Munro was formerly vice president of communications at the Foundation of Government Accountability from 2016-2020.,https://www.desmog.com/center-truth-science/
Whitney Munro,person,is employed by,Bill of Rights Institute,organization,2014,2016,,Whitney Munro was formerly vice president of communications at the Bill of Rights Institute from 2014-2016.,https://www.desmog.com/center-truth-science/
Whitney Munro,person,is employed by,FreedomWorks,organization,2012,2013,,Whitney Munro was director of campaigns and national grassroots director at FreedomWorks from 2012-2013.,https://www.desmog.com/center-truth-science/
Greg George,person,is employed by,Center for Truth in Science,organization,2020,2020,,Greg George worked as a “freelance researcher” at the Center for Truth in Science from September-October 2020.,https://www.desmog.com/center-truth-science/
Greg George,person,is employed by,Mackinac Center for Public Policy,organization,2021,2022,,Greg George was director of legislative affairs for the Mackinac Center for Public Policy from 2021-2022.,https://www.desmog.com/center-truth-science/
Greg George,person,is employed by,Philanthropy Roundtable,organization,2020,2021,,Greg George was freelance researcher at the Philanthropy Roundtable from 2020-2021.,https://www.desmog.com/center-truth-science/
Greg George,person,is employed by,Pioneer Institute for Public Policy Research,organization,2020,2020,,Greg George was a freelance researcher for the Pioneer Institute for Public Policy Research in 2020.,https://www.desmog.com/center-truth-science/
Greg George,person,is employed by,Foundation for Government Accountability,organization,2018,2020,,Greg George was a senior research fellow at the Foundation for Government Accountability from 2018-2020.,https://www.desmog.com/center-truth-science/
Greg George,person,is employed by,Americans for Prosperity (AfP),organization,2012,2013,,Greg George was a government affairs associate at Americans for Prosperity (AfP) from 2012-2013.,https://www.desmog.com/center-truth-science/
Angela Logomasini,person,contributed to,Competitive Enterprise Institute,organization,,,2020,Angela Logomasini promoted a report by the Center for Truth in Science in a post for the Competitive Enterprise Institute in November 2020.,https://www.desmog.com/center-truth-science/
Center for Truth in Science,organization,was funded by,Donors Capital Fund,organization,,,,"The Illinois Policy Institute, whose email address appeared on the Center for Common Sense in Science's trademark registration application for 'Center for Truth in Science,' has received over $2 million from the 'dark money' groups Donors Capital Fund and DonorsTrust. This indicates an indirect funding link.",https://www.desmog.com/center-truth-science/
