source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Viva Energy,organisation,is a member of,Australian Industry Greenhouse Network,organisation,,,2022,Viva Energy disclosed its membership in the Australian Industry Greenhouse Network in its Sustainability Report 2022.,https://lobbymap.org/company/Viva-Energy-faad702ce32402fe2fdfa70522e4859b/projectlink/Viva-Energy-in-Climate-Change-193748346723e35d12b00011ae73a09f
Viva Energy,organisation,is a member of,Gas Energy Australia,organisation,,,2022,"Viva Energy disclosed a partial list of its industry association memberships in its Sustainability Report 2022, which includes Gas Energy Australia.",https://lobbymap.org/company/Viva-Energy-faad702ce32402fe2fdfa70522e4859b/projectlink/Viva-Energy-in-Climate-Change-193748346723e35d12b00011ae73a09f
Viva Energy,organisation,is a member of,Australian Institute of Petroleum,organisation,,,2022,"Viva Energy disclosed a partial list of its industry association memberships in its Sustainability Report 2022, which includes the Australian Institute of Petroleum.",https://lobbymap.org/company/Viva-Energy-faad702ce32402fe2fdfa70522e4859b/projectlink/Viva-Energy-in-Climate-Change-193748346723e35d12b00011ae73a09f
Hainan Airlines Holding,Organization,is a member of,International Air Transport Association (IATA),Organization,,,,Strength of Relationship: 47%,https://lobbymap.org/company/Hainan-Airlines-Holding-613ff628e13ffc32a78e1e8209c3bfa4/projectlink/Hainan-Airlines-Holding-in-Climate-Change-e2ebbee77a53b86bca204193985567e8
Hainan Airlines Holding,Organization,is a member of,China Air Transport Association,Organization,,,,Strength of Relationship: 55%,https://lobbymap.org/company/Hainan-Airlines-Holding-613ff628e13ffc32a78e1e8209c3bfa4/projectlink/Hainan-Airlines-Holding-in-Climate-Change-e2ebbee77a53b86bca204193985567e8
Bayerische Versorgungskammer (BVK),organisation,is a member of,Net-Zero Asset Owners Alliance,organisation,,,,Bayerische Versorgungskammer (BVK) has supported urgent action to keep global temperature rise to 1.5C as a member of the Net-Zero Asset Owners Alliance.,https://lobbymap.org/company/Bayerische-Versorgungskammer-BVK-560700997113d093260957c8e15e8c72/projectlink/Bayerische-Versorgungskammer-BVK-in-Climate-Finance-25c5b64400eddc831801da82476d71f4
Bayerische Versorgungskammer (BVK),organisation,is associated with,Net-Zero Asset Owners Alliance,organisation,,,,"Bayerische Versorgungskammer (BVK) has supported urgent action to keep global temperature rise to 1.5C as a member of the Net-Zero Asset Owners Alliance, indicating shared initiatives.",https://lobbymap.org/company/Bayerische-Versorgungskammer-BVK-560700997113d093260957c8e15e8c72/projectlink/Bayerische-Versorgungskammer-BVK-in-Climate-Finance-25c5b64400eddc831801da82476d71f4
Bayerische Versorgungskammer (BVK),organisation,is a member of,Arbeitsgemeinschaft für betriebliche Altersversorgung (aba),organisation,,,,"BVK has disclosed a list of its industry association memberships, including its membership of Arbeitsgemeinschaft für betriebliche Altersversorgung (aba).",https://lobbymap.org/company/Bayerische-Versorgungskammer-BVK-560700997113d093260957c8e15e8c72/projectlink/Bayerische-Versorgungskammer-BVK-in-Climate-Finance-25c5b64400eddc831801da82476d71f4
Lotte Corporation,organisation,contributed to,Business Coalition for a Global Plastics Treaty,organisation,,,2024,"In an October 2024 'Business Coalition for a Global Plastics Treaty: Bridge to Busan Declaration', Lotte advocated for policymakers to strengthen government regulation on circular economy policies and called for the Global Treaty on Plastics to include legally binding measures covering the entire life cycle of plastics.",https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,contributed to,Korea Enterprises Federation (KEF),organisation,,,2024,"In the '13th ESG Management Committee Paper' published by the Korea Enterprises Federation in July 2024, Lotte supported government policies promoting renewable energy, including facility funding initiatives.",https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Korea International Trade Association (KITA),organisation,,,,"Lotte disclosed a partial list of its memberships to industry associations in its 2023 Sustainability Report, but excludes its membership to Korea International Trade Association (KITA).",https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Korea Chamber of Commerce and Industry (KCCI),organisation,,,,"Lotte disclosed a partial list of its memberships to industry associations in its 2023 Sustainability Report, but excludes its membership to Korea Chamber of Commerce and Industry (KCCI).",https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Korea Enterprises Federation (KEF),organisation,,,,"Lotte disclosed a partial list of its memberships to industry associations in its 2023 Sustainability Report, but excludes its membership to Korea Enterprises Federation (KEF).",https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lee Dong-woo,person,is employed by,Lotte Corporation,organisation,,,2025,Lee Dong-woo is CEO of Lotte Corporation. This information was last updated in Q1 2025.,https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lee Dong-woo,person,is director of,Korea Enterprises Federation (KEF),organisation,,,2025,"Lee Dong-woo, CEO of Lotte, is the Vice Chairman of KEF. This information was last updated in Q1 2025.",https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Federation of Korean Industries (FKI),organisation,,,,Lotte Corporation is listed as having a relationship with Federation of Korean Industries (FKI) in the 'Details of Relationship Score' section.,https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Consumer Goods Forum,organisation,,,,Lotte Corporation is listed as having a relationship with Consumer Goods Forum in the 'Details of Relationship Score' section.,https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Japan Association of Corporate Executives (Keizai Doyukai),organisation,,,,Lotte Corporation is listed as having a relationship with Japan Association of Corporate Executives (Keizai Doyukai) in the 'Details of Relationship Score' section.,https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Japan Retailers Association (JRA),organisation,,,,Lotte Corporation is listed as having a relationship with Seidanren (Japan Retailers Association) in the 'Details of Relationship Score' section.,https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
Lotte Corporation,organisation,is a member of,Korea Business Association in Europe (KBA Europe),organisation,,,,Lotte Corporation is listed as having a relationship with Korea Business Association in Europe (KBA Europe) in the 'Details of Relationship Score' section.,https://lobbymap.org/company/Lotte-Corporation-da8d10ff775de06b0f72d21cda12656f/projectlink/Lotte-Corporation-in-Climate-Change-284ba741b60e5e1767c8bf9e5b530120
InfluenceMap,organization,active since,2015,gYear,,,,"InfluenceMap's research and reports have been informing investors, the media and the corporate sector since 2015.",https://lobbymap.org/company/Yili-89c9d9aafcc6ab555916f9aa7d88bda3/projectlink/Yili-in-Climate-Change-d61873be7220d84b0d64922547965d1b
LobbyMap,organization,is associated with,InfluenceMap,organization,,,,LobbyMap maintains the world’s leading database of corporate and industry association lobbying of climate policy around the globe. InfluenceMap is a UK-based non-profit Community Interest Company (CIC).,https://lobbymap.org/company/Yili-89c9d9aafcc6ab555916f9aa7d88bda3/projectlink/Yili-in-Climate-Change-d61873be7220d84b0d64922547965d1b
SSAB,Organization,is a member of,European Steel Association (Eurofer),Organization,,,,"SSAB retains influential positions in the European Steel Association (Eurofer), an industry association negatively engaged on climate change policy in Europe.",https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
SSAB,Organization,is associated with,European Steel Association (Eurofer),Organization,,,,SSAB retains influential positions in the European Steel Association (Eurofer).,https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
SSAB,Organization,is a member of,American Iron and Steel Institute (AISI),Organization,,,,SSAB has a relationship with the American Iron and Steel Institute (AISI).,https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
SSAB,Organization,is a member of,Corporate Leaders Group (CLG),Organization,,,,SSAB has a relationship with the Corporate Leaders Group (CLG).,https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
SSAB,Organization,is a member of,National Association of Manufacturers (NAM),Organization,,,,"SSAB retains influential positions in the National Association of Manufacturers (NAM), an industry association negatively engaged on climate change policy in the US.",https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
SSAB,Organization,is associated with,National Association of Manufacturers (NAM),Organization,,,,SSAB retains influential positions in the National Association of Manufacturers (NAM).,https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
CEO of SSAB,Person,is employed by,SSAB,Organization,,,,The CEO is employed by SSAB.,https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
CEO of SSAB,Person,contributed to,Antwerp Declaration,Organization,,,2024,"The CEO of SSAB signed the Antwerp Declaration in February 2024, which advocated against prescriptive regulations.",https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
SSAB,Organization,has partner,Antwerp Declaration,Organization,,,2024,"SSAB, through its CEO, supported the Antwerp Declaration, an initiative that advocated against prescriptive regulations.",https://lobbymap.org/company/SSAB-b4ccd7360e7b3723f491396145031ba1/projectlink/SSAB-in-Climate-Change-73d7dd3739d0b65eb20a7e71c8fbbe21
Kumho Petrochemical,organization,is a member of,Korea Chemical Industry Association (KCIA),organization,,,,"Kumho Petrochemical is linked to the Korea Chemical Industry Association (KCIA), formerly Korea Petrochemical Industry Association, as an industry association for indirect engagement with climate policy, as detailed in its Relationship Score.",https://lobbymap.org/company/Kumho-Petrochemical-57e458cdb4c1cd2dc898d51afe10d993/projectlink/Kumho-Petrochemical-in-Climate-Change-46cb176b6b8c68839e4ea06124bb0f29
Kumho Petrochemical,organization,is a member of,Korea International Trade Association (KITA),organization,,,,"Kumho Petrochemical is linked to the Korea International Trade Association (KITA) as an industry association for indirect engagement with climate policy, as detailed in its Relationship Score.",https://lobbymap.org/company/Kumho-Petrochemical-57e458cdb4c1cd2dc898d51afe10d993/projectlink/Kumho-Petrochemical-in-Climate-Change-46cb176b6b8c68839e4ea06124bb0f29
Kumho Petrochemical,organization,is a member of,Korea Business Council for Sustainable Development (KBCSD),organization,,,,"Kumho Petrochemical is linked to the Korea Business Council for Sustainable Development (KBCSD) as an industry association for indirect engagement with climate policy, as detailed in its Relationship Score.",https://lobbymap.org/company/Kumho-Petrochemical-57e458cdb4c1cd2dc898d51afe10d993/projectlink/Kumho-Petrochemical-in-Climate-Change-46cb176b6b8c68839e4ea06124bb0f29
Kumho Petrochemical,organization,is a member of,Korea Business Association in Europe (KBA Europe),organization,,,,"Kumho Petrochemical is linked to the Korea Business Association in Europe (KBA Europe) as an industry association for indirect engagement with climate policy, as detailed in its Relationship Score.",https://lobbymap.org/company/Kumho-Petrochemical-57e458cdb4c1cd2dc898d51afe10d993/projectlink/Kumho-Petrochemical-in-Climate-Change-46cb176b6b8c68839e4ea06124bb0f29
Kumho Petrochemical,organization,is a member of,Korea Chamber of Commerce and Industry (KCCI),organization,,,,"Kumho Petrochemical is linked to the Korea Chamber of Commerce and Industry (KCCI) as an industry association for indirect engagement with climate policy, as detailed in its Relationship Score.",https://lobbymap.org/company/Kumho-Petrochemical-57e458cdb4c1cd2dc898d51afe10d993/projectlink/Kumho-Petrochemical-in-Climate-Change-46cb176b6b8c68839e4ea06124bb0f29
Roberto Ardenghy,person,is president of,"Brazilian Institute of Oil, Gas and Biofuels (IBP)",organization,2024,2025,,"Roberto Ardenghy is identified as the President of the Brazilian Institute of Oil, Gas and Biofuels (IBP), advocating for various policies from May 2024 to June 2025.",https://influencemap.org/influencer/Brazilian-Petroleum-and-Gas-Institute-05fb4c94a0c256d1da0291d828851f0c/projectlink/Brazilian-Petroleum-and-Gas-Institute-in-Climate-Change-4f091dd1cbb00e3f4a5bc8aa4c6ac8e3
Instituto Brasileiro de Petróleo e Gás (IBP),organization,same as,"Brazilian Institute of Oil, Gas and Biofuels (IBP)",organization,,,,"Instituto Brasileiro de Petróleo e Gás is the full name for the Brazilian Institute of Oil, Gas and Biofuels (IBP).",https://influencemap.org/influencer/Brazilian-Petroleum-and-Gas-Institute-05fb4c94a0c256d1da0291d828851f0c/projectlink/Brazilian-Petroleum-and-Gas-Institute-in-Climate-Change-4f091dd1cbb00e3f4a5bc8aa4c6ac8e3
"Brazilian Institute of Oil, Gas and Biofuels (IBP)",organization,sponsored,UOL,organization,,,2024,"The Brazilian Institute of Oil, Gas and Biofuels (IBP) sponsored an article in UOL in December 2024, presenting its arguments against a selective tax.",https://influencemap.org/influencer/Brazilian-Petroleum-and-Gas-Institute-05fb4c94a0c256d1da0291d828851f0c/projectlink/Brazilian-Petroleum-and-Gas-Institute-in-Climate-Change-4f091dd1cbb00e3f4a5bc8aa4c6ac8e3
InfluenceMap,organization,has partner,We Mean Business Coalition,organization,,,2026,InfluenceMap and We Mean Business Coalition jointly held an annual corporate climate advocacy forum.,https://influencemap.org/influencer/Brazilian-Petroleum-and-Gas-Institute-05fb4c94a0c256d1da0291d828851f0c/projectlink/Brazilian-Petroleum-and-Gas-Institute-in-Climate-Change-4f091dd1cbb00e3f4a5bc8aa4c6ac8e3
InfluenceMap,organization,has partner,Climate Action 100+,organization,,,,InfluenceMap is a data provider to the Climate Action 100+ investor process.,https://influencemap.org/influencer/Brazilian-Petroleum-and-Gas-Institute-05fb4c94a0c256d1da0291d828851f0c/projectlink/Brazilian-Petroleum-and-Gas-Institute-in-Climate-Change-4f091dd1cbb00e3f4a5bc8aa4c6ac8e3
Air China Ltd,organisation,was funded by,Government of China,organisation,,,,Air China Ltd is a listed company with more than 50% of its shares owned by the government of China.,https://lobbymap.org/company/Air-China-Ltd-a08e94698cf496f61438d4d9803cfe77/projectlink/Air-China-Ltd-in-Climate-Change-90b7b99cbbb5db7a1b141389b5a7090e
Air China Ltd,organisation,is a member of,China Air Transport Association,organisation,,,2023,"Air China Ltd is a member of the China Air Transport Association. As of October 2023, the company has limited transparency on its industry association membership.",https://lobbymap.org/company/Air-China-Ltd-a08e94698cf496f61438d4d9803cfe77/projectlink/Air-China-Ltd-in-Climate-Change-90b7b99cbbb5db7a1b141389b5a7090e
